iter	Passed	Remaining
0	0	82
1	1	80
2	2	73
3	2	64
4	3	60
5	3	57
6	4	55
7	4	52
8	5	51
9	5	51
10	6	51
11	6	51
12	7	50
13	7	49
14	8	48
15	9	47
16	9	46
17	10	46
18	10	45
19	11	44
20	11	43
21	12	42
22	12	41
23	13	41
24	13	40
25	14	40
26	14	39
27	15	38
28	15	38
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	28	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	42	12
77	43	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	9
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	51	5
91	52	4
92	53	3
93	53	3
94	54	2
95	55	2
96	56	1
97	57	1
98	58	0
99	58	0
