iter	Passed	Remaining
0	128	128681
1	130	64889
2	130	43428
3	131	32679
4	131	26226
5	132	21941
6	133	18867
7	133	16574
8	134	14792
9	135	13371
10	135	12198
11	136	11223
12	137	10402
13	137	9685
14	138	9070
15	138	8535
16	139	8059
17	139	7631
18	140	7255
19	140	6908
20	141	6619
21	142	6341
22	143	6090
23	144	5862
24	144	5646
25	145	5451
26	146	5276
27	147	5108
28	147	4952
29	148	4815
30	149	4676
31	150	4548
32	151	4427
33	151	4315
34	152	4207
35	153	4114
36	154	4014
37	154	3921
38	155	3832
39	156	3748
40	157	3673
41	158	3608
42	159	3541
43	159	3472
44	160	3414
45	161	3357
46	162	3296
47	163	3238
48	164	3183
49	164	3133
50	165	3087
51	166	3042
52	167	2998
53	168	2956
54	169	2914
55	170	2872
56	171	2830
57	171	2793
58	173	2759
59	173	2720
60	174	2687
61	175	2653
62	176	2624
63	177	2595
64	178	2565
65	179	2534
66	179	2502
67	180	2476
68	181	2451
69	182	2425
70	183	2399
71	184	2376
72	185	2353
73	186	2334
74	187	2310
75	188	2286
76	188	2261
77	189	2239
78	190	2217
79	190	2194
80	191	2172
81	192	2154
82	192	2132
83	193	2112
84	194	2093
85	195	2076
86	196	2057
87	196	2038
88	197	2019
89	197	2000
90	198	1982
91	199	1967
92	200	1951
93	200	1936
94	201	1919
95	202	1904
96	202	1888
97	203	1872
98	203	1856
99	204	1841
100	205	1827
101	205	1812
102	206	1799
103	207	1784
104	207	1771
105	208	1758
106	209	1745
107	209	1732
108	210	1719
109	211	1707
110	211	1695
111	212	1683
112	213	1672
113	213	1660
114	214	1648
115	214	1637
116	216	1631
117	217	1627
118	218	1616
119	219	1611
120	222	1615
121	223	1610
122	224	1602
123	225	1594
124	226	1586
125	227	1576
126	227	1566
127	228	1556
128	229	1549
129	230	1545
130	231	1538
131	233	1532
132	234	1525
133	235	1518
134	236	1512
135	237	1506
136	238	1500
137	239	1494
138	240	1488
139	241	1482
140	242	1474
141	242	1465
142	243	1460
143	244	1453
144	245	1446
145	246	1440
146	247	1437
147	248	1431
148	249	1425
149	250	1420
150	251	1413
151	252	1406
152	252	1398
153	253	1390
154	253	1383
155	254	1376
156	254	1369
157	255	1361
158	256	1355
159	256	1348
160	257	1340
161	257	1333
162	258	1326
163	258	1319
164	259	1313
165	260	1306
166	260	1300
167	261	1294
168	261	1287
169	262	1283
170	263	1277
171	264	1271
172	264	1266
173	265	1260
174	266	1255
175	267	1250
176	267	1244
177	268	1240
178	269	1234
179	269	1229
180	270	1224
181	271	1219
182	271	1213
183	272	1208
184	273	1203
185	274	1199
186	274	1194
187	275	1189
188	276	1185
189	276	1180
190	277	1176
191	278	1172
192	279	1168
193	280	1163
194	280	1159
195	281	1155
196	282	1150
197	283	1146
198	283	1141
199	284	1136
200	284	1132
201	285	1127
202	286	1122
203	286	1118
204	287	1114
205	287	1109
206	288	1105
207	289	1101
208	289	1097
209	290	1092
210	291	1088
211	291	1085
212	292	1081
213	293	1077
214	293	1073
215	294	1069
216	295	1065
217	295	1061
218	296	1057
219	297	1053
220	297	1049
221	298	1046
222	299	1042
223	299	1038
224	300	1034
225	300	1030
226	301	1026
227	302	1023
228	302	1019
229	303	1015
230	304	1012
231	304	1008
232	305	1004
233	305	1001
234	306	997
235	307	994
236	307	991
237	308	987
238	309	984
239	309	980
240	310	977
241	310	974
242	311	970
243	312	967
244	312	963
245	313	960
246	314	957
247	314	954
248	315	950
249	315	947
250	316	944
251	317	941
252	317	937
253	318	934
254	318	931
255	319	928
256	320	925
257	320	922
258	321	920
259	322	917
260	323	914
261	324	912
262	325	910
263	325	908
264	326	905
265	326	902
266	327	899
267	328	896
268	328	893
269	329	890
270	329	887
271	330	885
272	331	882
273	331	879
274	332	876
275	333	873
276	333	870
277	334	868
278	334	865
279	335	862
280	336	860
281	336	857
282	337	854
283	338	852
284	338	849
285	339	847
286	340	844
287	340	842
288	341	839
289	341	837
290	342	834
291	343	831
292	343	829
293	344	826
294	344	824
295	345	821
296	346	819
297	346	817
298	347	814
299	348	812
300	348	809
301	349	807
302	349	805
303	350	802
304	351	800
305	352	798
306	352	796
307	353	794
308	354	792
309	355	790
310	355	788
311	356	786
312	357	784
313	357	781
314	358	779
315	359	777
316	359	775
317	360	773
318	361	770
319	361	768
320	362	766
321	362	764
322	363	761
323	364	759
324	364	757
325	365	755
326	365	753
327	366	751
328	367	748
329	367	746
330	368	745
331	369	743
332	370	741
333	371	739
334	371	737
335	372	735
336	373	733
337	373	732
338	374	730
339	375	728
340	375	726
341	376	724
342	377	722
343	378	721
344	379	719
345	379	717
346	380	716
347	381	714
348	381	712
349	382	710
350	383	709
351	384	707
352	384	705
353	385	703
354	386	701
355	386	699
356	387	697
357	388	696
358	388	694
359	389	692
360	390	690
361	390	688
362	391	687
363	392	685
364	392	683
365	393	681
366	394	679
367	394	678
368	395	676
369	396	674
370	396	672
371	397	670
372	398	669
373	398	667
